,title,company,location,posted_date,description,skills
0,Python Developer,Understanding Recruitment,"London
                    London",2023-04-24,"Python Developer - Payments Startup Location: London / Fully remote Salary: Up to £150k + significant equity Python Developer (Django, Docker, AWS) - We are actively seeking a Python Developer to join our payments startup that have recently raised $11m. You will be joining our growing team of multicultural engineers. You will be joining a team who embrace TDD,  Clean Code and Refactoring in an agile environment.  Our Python Developer will be working closely with the CTO and three more Senior Python Developers to build out a greenfield payments platform, using microservices and cloud computing.  We can offer our Python Developer:  A rewarding career with stock optionsFlexible working from home and remote days.The ability to work in a fast paced payments startup and learn exponentially. We can also offer our Python Developer an environment which is perfect for a true technologist. You will be surrounded by individuals just like yourself. You will gain experience within the payments industry and work with likeminded individuals towards building  a next generation payments company. Apply now for immediately consideration for this excellent Python Developer opportunity! Understanding Recruitment is acting as an employment agency for this Python Developer vacancy.","Python
React
SQL
Django
payments
AWS
remote
Docker
fintech
microservices
kubernetes"
0,Python Developer,Erin Associates,"Manchester
                    Lancashire",2023-04-24,"Python Developer - Fully Remote- £60,000 - £70,000Python, Linux, Agile, PHP, JavaScript, DeveloperDue to the ongoing success and expansion plans my client are investing heavily in the Software Engineering department and as a result are looking to add several Python Developers to their development team . In this Python Developer role you will be developing, supporting and testing bespoke software and applications, while assisting and supporting the wider team. A natural aptitude for understanding complex problems and implementing solutions is key to this role. The client offers an excellent salary and benefits package, ample opportunity to develop your skills and progress within the company. They are open to candidates working on a remote basis as long as they reside within the UK.Core skills for this Python Developer / Software developer role Proven experience with Python and LinuxSecure Programming TechniquesGood understanding of OOAD principles and techniquesAgile Techniques and Methodologies Desirable skills Experience with PHP, JavaScriptExperience with C++Experience with Virtualisation Technologies (VMWare, Docker, AWS)Continuous Integration They have been actively growing for the past several years and can provide job security as well as opportunities for career progression. Contact – Casey GilliganIf you have not heard back from us within 5 working days, please assume that your application has been unsuccessful on this occasion. Your profile may be considered for other suitable vacancies that arise within the next 12 weeks.Please follow us on twitter @erinassociates for similar rolesErin Associates Ltd is acting as an Employment Agency in relation to this vacancy.Key Words – Python Engineer, Software Engineer, Software Developer – Remote working, WFH, London, Manchester, Liverpool, Birmingham, Nottingham, Leeds, Shefffield, Solihull, Hull, Coventry","Python, Linux, Agile, PHP, Developer"
0,Python Developer,Understanding Recruitment,"London
                    London",2023-04-17,"Python Developer - Buy Now Pay Later Location: London / Fully remote Salary: Up to £130k + significant equity Python Developer (Django, Docker, AWS) - We are actively seeking a Python Developer to join our payments startup that have recently raised $11m. You will be joining our growing team of multicultural engineers. You will be joining a team who embrace TDD,  Clean Code and Refactoring in an agile environment.  Our Python Developer will be working closely with the CTO and three more Senior Python Developers to build out a greenfield payments platform, using microservices and cloud computing.  We can offer our Python Developer:  A rewarding career with stock optionsFlexible working from home and remote days.The ability to work in a fast paced payments startup and learn exponentially. We can also offer our Python Developer an environment which is perfect for a true technologist. You will be surrounded by individuals just like yourself. You will gain experience within the payments industry and work with likeminded individuals towards building  a next generation payments company. Apply now for immediately consideration for this excellent Python Developer opportunity! Understanding Recruitment is acting as an employment agency for this Python Developer vacancy.","Python
React
SQL
Django
payments
AWS
remote
Docker
fintech
microservices
kubernetes"
0,Python Developer,Anson McCade Ltd - IT and Finance Recruitment,"London
                    London",2023-03-19,"Python Developer A global leader in technology services searching for the UK's best Python Developers. These opportunities are at all levels and as a result the client can offer both excellent professional and financial incentives for anyone to join them. About the Role As a Python Developer you will:  Select the appropriate software development tools and methodsDevelop well engineered outcomes to agreed standardsSelf-review own work and that of their colleaguesWork within a variety of disciplines from: Deigning, coding, verifying, Testing, documenting and amending programmes and integration software services. Ideal criteria for Python Developer :  A minimum of 3 years commercial experience using PythonExperience in micro-services Architecture (REST API)Experience with cloud technologies especially AWSYou will have preferably use big data technologies (Kafka/Aurora) A Python Developer will be able to avail of many perks that the firm offers as well as generous pay package as stated below:  £55,000-£90,000 base salary depending on skillset and experienceBenefits (Bonus, pension, private healtchcare etc.)Flexible Working (4 days remote/1 day on site) Due to the nature of the work the succesful candidate must either hold SC clearance or be eligible to gain SC clearance. If you would like to hear more and put your CV forward for the Python Developer role then apply directly now!",Not Specified
0,Python Developer,Erin Associates,West Midlands (Region),2023-04-03,"Python Developer - Fully Remote- £60,000 - £70,000Python, Linux, Agile, PHP, JavaScript, DeveloperDue to the ongoing success and expansion plans my client are investing heavily in the Software Engineering department and as a result are looking to add several Python Developers to their development team . In this Python Developer role you will be developing, supporting and testing bespoke software and applications, while assisting and supporting the wider team. A natural aptitude for understanding complex problems and implementing solutions is key to this role. The client offers an excellent salary and benefits package, ample opportunity to develop your skills and progress within the company. They are open to candidates working on a remote basis as long as they reside within the UK.Core skills for this Python Developer / Software developer role Proven experience with Python and LinuxSecure Programming TechniquesGood understanding of OOAD principles and techniquesAgile Techniques and Methodologies Desirable skills Experience with PHP, JavaScriptExperience with C++Experience with Virtualisation Technologies (VMWare, Docker, AWS)Continuous Integration They have been actively growing for the past several years and can provide job security as well as opportunities for career progression. Contact – Casey GilliganIf you have not heard back from us within 5 working days, please assume that your application has been unsuccessful on this occasion. Your profile may be considered for other suitable vacancies that arise within the next 12 weeks.Please follow us on twitter @erinassociates for similar rolesErin Associates Ltd is acting as an Employment Agency in relation to this vacancy.Key Words – Python Engineer, Software Engineer, Software Developer – Remote working, WFH, London, Manchester, Liverpool, Birmingham, Nottingham, Leeds, Shefffield, Solihull, Hull, Coventry","Python, Linux, Agile, PHP, Developer"
0,Python Developer,eFinancialCareers,"London
                    London",2023-04-24,"Previous Experience in Financial Services is preferred but not a requirement A highly successful systematic hedge fund is looking to hire into their Python development teams. They are looking for outstanding Python Developers with proven experience and the ability to see projects through from initiation. The skills required are, but not limited to, some of the below:  Expert knowledge in PythonKnowledge of various scripting languagesStrong knowledge of relevant database technologies (Oracle, MongoDB)Proficient with a range of open-source frameworks and development tools (NumPy/SciPy/Pandas, Pyramid, AngularJS, React) Previous Experience in Financial Services is preferred but not a requirement #Python #Software #Developer #Engineer",Not Specified
0,Python Developer,Understanding Recruitment,"London
                    London",2023-04-17,"Python Developer - Green Finance Salary up to £120k plus Bonus and Benefits Location: London, flexible working Python Developer - We are actively seeking a Python Developer to join our leading FinTech analytics startup. You will be joining our growing team of multicultural engineers. You will be joining a team who embrace TDD, Clean Code and Refactoring  in an agile environment. We are passionate about helping our customers exceed expectations. Our Python Developer will be working closely with the CTO and 4/5 other Python Developer's on various data-driven and analytics based projects for the finance sector. You will also be working on a carbon accounting platform which helps finance companies  track their carbon footprint.We can offer our Python Developer:  A rewarding career with a discretionary performance based bonus & equityFlexible working from home and remote days.Exposure to data pipelines, Machine Learning models, trading and risk systems. We can also offer our Python Developer an environment which is perfect for a true technologist. You will be surrounded by individuals just like yourself. You will gain experience with a startup environment, working closely with data scientist, product owners  and business team members. Apply now for immediately consideration for this excellent Python Developer opportunity. Understanding Recruitment is acting as an employment agency for this Python Developer vacancy.","Python
SQL
Tornado
Redis
django
AWS
machine learning
Docker
flask
noSQL
Kubernetes
Terraform"
0,Python Developer,Understanding Recruitment,"London
                    London",2023-04-23,"Python Developer | FinTech | LDN - Hybrid | Up to £70k + benefits We are looking for a Python Developer to join our fast-paced FinTech start up, where we use behavioural science and advanced financial data analytics to provide actionable insights to businesses, giving the insight to make informed investment  decisions. As Python Developer, you'll be using Python on the SQL database to build our data analytics infrastructure, being SME in all areas Python. You'll also be working with Python data science toolkits, as well as a variety of financial data from  our clients to support the design and development required for our smart decision-making platform. As a Python Developer with our company, you'll receive several benefits such as:  Private health insurancePerformance-based bonus schemeHybrid working - and more! Python | SQL | AWS | Pandas | NumPy | Sci-kit learn | Financial Data Understanding Recruitment is the acting agency on this Python Developer position. If you are interested in the Python Developer vacancy, please apply below.",Not Specified
0,Python Developer,Premier IT,"Manchester
                    Lancashire",2023-04-06,"Python DeveloperManchester£85,000We’re looking for a Python Developer who will be joining an existing team to help with a brand new project expansion. The Python Developer will be taking ownership throughout the whole SDLC on end-to-end software. This will also include code review, porting,  refactoring and upgrading code from Python 2 to Python 3. The Python Developer will be working on upgrading UI frameworks and be part of a team working on essential software, so a solid engineering mindset, working within a close and motivated team with substantial impact on the outcome of the projects.Tech Stack: PythonDjangoHTML, CSS, JavaScriptSQLGit Benefits Package:  Remote first with Ad-Hoc travel to the Manchester office6% pension25 days holiday + bank holidaysMat and Pat comp10 days sick leave after your first yearMediCash planEAP Scheme Please apply directly or email your most up to date CV to bbradley@ pg-rec.com for a chatPython Developer, Python Engineer, Python, Django, Software Engineer, Software Developer",Not Specified
0,Python Developer,Understanding Recruitment,"Oxford
                    Oxfordshire",2023-04-27,"Python Developer - BioTech  Salary up to £75k +10% Bonus Python Developer (Django, Flask, AWS, SQL) - We are looking for a Python developer to expand an already existing team at one of the worlds leading BioTech organisations. This position would be flexi-remote with visits to the workplace required  twice per month. This Full Stack Software Engineer role will entail exciting and challenging work that includes aims to deliver diverse applications, managing multi-terabyte workloads, and driving forward API platforms. Their Tech stack includes: Python, Django, Flask, React, AWS What's on offer?  A rewarding career with an international organisation that strides to make a positive global impact.Flexible working from home.Exposure to teams in multiple countries across 3 continents including USA, China and Japan. With multiple industries within the organisation including science, molecular biology and applications, informatics, engineering, electronics, manufacturing and commercialisation, as a Python Developer there is always the opportunity to grow, learn and explore  new ideas. Apply now as soon as possible to be considered for this Python Developer role. Understanding Recruitment is acting as an employment agency for this Python Developer vacancy.",Not Specified
